AppID,Title,Rarest Achievement %,Completed
265240,Crazy Machines: Golden Gears,5.0,False
267530,The LEGO® Movie - Videogame,5.0,False
474960,Quantum Break,5.0,False
1063490,Still There,5.0,False
746710,Cypher,5.0,False
210970,The Witness,5.0,False
530390,Slayaway Camp,5.0,False
651500,My Memory of Us,5.0,False
231160,The Swapper,4.9,False
454890,Project Starship,4.9,False
774561,Rym 9000,4.9,False
1136370,Bear and Breakfast,4.9,False
236090,Dust: An Elysian Tail,4.9,False
975950,Effie,4.9,False
1381440,80's OVERDRIVE,4.9,False
1231880,"Haiku, the Robot",4.8,False
285160,LEGO® The Hobbit™,4.8,False
521890,Hello Neighbor,4.8,False
206190,Gunpoint,4.8,False
230820,The Night of the Rabbit,4.8,False
336130,Shardlight,4.8,True
996580,Spyro™ Reignited Trilogy,4.8,False
925460,Vectronom,4.8,False
619700,Steel Rats,4.8,False
900040,ELEX II,4.8,False
284390,The Last Door - Collector's Edition,4.8,False
735580,11-11 Memories Retold,4.8,False
287390,Metro: Last Light Redux,4.7,False
268540,The Whispered World Special Edition,4.7,True
440420,True Fear: Forsaken Souls Part 1,4.7,False
451570,Demetrios - The BIG Cynical Adventure,4.7,False
752590,A Plague Tale: Innocence,4.7,False
1191120,Growing Up,4.7,False
67370,The Darkness II,4.7,False
1281790,Sheepo,4.7,False
371450,Awe,4.7,False
252170,Anomaly Warzone Earth Mobile Campaign,4.7,False
1140630,Red Wings,4.7,False
397080,Magicka 2: Spell Balance Beta,4.7,False
269650,Dex,4.6,False
523650,Lust for Darkness,4.6,False
265210,Viscera Cleanup Detail: Santa's Rampage,4.6,False
816340,Kingdom Rush Origins,4.6,False
898650,The Shapeshifting Detective,4.6,False
751780,Forager,4.6,False
651470,Onirim - Solitaire Card Game,4.6,False
414340,Hellblade: Senua's Sacrifice,4.6,False
402530,The Last Door: Season 2 - Collector's Edition,4.6,False
557600,Gorogoa,4.6,False
543260,Wonder Boy: The Dragon's Trap,4.6,False
1049320,River City Girls,4.6,False
306700,Iron Fisticle,4.6,False
220820,Zombie Driver HD,4.6,False
470780,She Remembered Caterpillars,4.6,False
383230,Dungeon Souls,4.6,False
1180660,Tell Me Why,4.6,False
313690,LEGO® Batman™ 3: Beyond Gotham,4.6,False
295790,Never Alone (Kisima Ingitchuna),4.6,False
383750,Funk of Titans,4.6,False
603700,The Low Road,4.5,False
252670,Nihilumbra,4.5,False
894020,Death's Door,4.5,False
1259840,The House of Da Vinci 2,4.5,False
712730,SIMULACRA,4.5,True
814370,Monster Sanctuary,4.5,False
447890,Cat on a Diet,4.5,False
910630,Arcade Spirits,4.5,False
340000,Headlander,4.5,False
22650,Alien Breed 2: Assault,4.5,False
1069530,Narita Boy,4.5,False
290690,Tonight We Riot,4.5,False
976890,Hidden Deep,4.5,False
335300,DARK SOULS™ II: Scholar of the First Sin,4.4,False
255300,Journey of a Roach,4.4,False
251530,Anomaly Korea,4.4,False
1080010,Witchtastic,4.4,False
762220,Afterparty,4.4,False
1721170,What Lies in the Multiverse,4.4,False
1493360,Clouzy!,4.4,False
418270,Draw Slasher,4.4,False
437160,The Lion's Song,4.4,False
257510,The Talos Principle,4.3,False
270810,Jones On Fire,4.3,False
783050,Bear With Me - Collector's Edition,4.3,False
115800,Owlboy,4.3,False
323320,Grow Home,4.3,False
421050,Deponia Doomsday,4.3,False
91200,Anomaly Warzone Earth,4.3,False
1075190,A Game of Thrones: The Board Game,4.3,False
1641890,Lust from Beyond: M Edition,4.3,False
209790,Splice,4.3,False
391720,Layers of Fear (2016),4.3,False
529660,Mages of Mystralia,4.3,False
1248840,Sephonie,4.3,False
286570,F1 2015,4.3,False
760320,Gunman Tales,4.3,False
493540,Figment,4.3,False
492500,Heroes of the Monkey Tavern,4.3,False
248820,Risk of Rain (2013),4.3,False
578330,LEGO® City Undercover,4.3,False
375820,Human Resource Machine,4.3,False
214510,LEGO® The Lord of the Rings™,4.3,False
290260,Sokobond,4.3,False
441380,PAC-MAN™ CHAMPIONSHIP EDITION 2,4.3,False
308040,Back to Bed,4.3,False
582500,We Were Here,4.2,False
418670,Pankapu,4.2,False
489520,Minion Masters,4.2,False
962580,Summer in Mara,4.2,False
260160,The Last Tinker: City of Colors,4.2,False
253390,Hot Tin Roof: The Cat That Wore A Fedora,4.2,False
218640,Lucius,4.2,False
216110,Tiny Troopers,4.1,False
803330,Destroy All Humans!,4.1,False
331480,Pinstripe,4.1,False
384190,ABZÛ,4.1,False
1096410,Vampire: The Masquerade - Coteries of New York,4.1,False
201810,Wolfenstein: The New Order,4.1,False
397950,Clustertruck,4.1,False
606280,Darksiders III,4.1,False
289690,Lara Croft and the Temple of Osiris,4.1,False
395570,We Are The Dwarves,4.1,False
1013310,Peaky Blinders: Mastermind,4.1,False
915310,SNKRX,4.1,False
645820,Odysseus Kosmos and his Robot Quest: Adventure Game,4.1,False
326410,Windward,4.1,False
909080,Cube Escape: Paradox,4.1,False
374320,DARK SOULS™ III,4.1,False
764790,The Messenger,4.1,False
576500,Evergarden,4.0,False
1137350,Filament,4.0,False
743890,Mega Man X Legacy Collection,4.0,False
488790,South Park The Fractured But Whole,4.0,False
281750,Munin,4.0,False
227000,Primordia,4.0,True
463150,BARRIER X,4.0,False
950670,Gothic Playable Teaser,4.0,False
434650,Lost Castle,4.0,False
32460,Monkey Island 2: Special Edition,4.0,True
846870,Yooka-Laylee and the Impossible Lair,4.0,False
785740,This Is the Police 2,4.0,False
